,experiment_num,selected_features,pnum
68,4,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",22.0
69,4,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",23.0
70,5,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",1.0
71,5,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",2.0
72,5,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",3.0
73,5,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",7.0
74,5,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",9.0
75,5,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",10.0
76,5,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",12.0
77,5,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",13.0
78,5,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",14.0
79,5,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",19.0
80,5,"['(NR)_call_log_mute', '(NR)_fitbit_hr_std', '(NR)_fitbit_hr_min', '(NR)_fitbit_hr_max', '(NR)_acc_x_mean', '(NR)_acc_y_mean', '(NR)_acc_magnitude_mean', '(NR)_acc_x_std', '(NR)_acc_y_std', '(NR)_acc_z_std', '(NR)_acc_magnitude_std']",20.0
